shortname: benhoyt_goawk-BuiltinGsubAmpersand
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
BuiltinGsubAmpersand,8.597000000000001e-06,1%,3.5556e-05,3%,+313.59%,p=0.008 n=5,2.7615000000000002e-05,8%,+221.22%,p=0.008 n=5
geomean,8.597000000000003e-06,,3.555600000000001e-05,,+313.59%,,2.7615000000000016e-05,,+221.22%,

shortname: benhoyt_goawk-NativeFunc
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
NativeFunc,5.1480000000000005e-06,4%,2.4796e-05,4%,+381.66%,p=0.008 n=5,1.9652e-05,2%,+281.74%,p=0.008 n=5
geomean,5.147999999999997e-06,,2.479599999999999e-05,,+381.66%,,1.9652000000000004e-05,,+281.74%,

shortname: benhoyt_goawk-RecursiveFunc
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
RecursiveFunc,7.095000000000001e-06,10%,2.5275e-05,6%,+256.24%,p=0.008 n=5,2.0567e-05,4%,+189.88%,p=0.008 n=5
geomean,7.095000000000006e-06,,2.5275000000000008e-05,,+256.24%,,2.0567e-05,,+189.88%,

shortname: benhoyt_goawk-SimpleBuiltins
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
SimpleBuiltins,3.0410000000000003e-07,1%,1.8030000000000001e-06,6%,+492.90%,p=0.008 n=5,1.5630000000000001e-06,8%,+413.98%,p=0.008 n=5
geomean,3.041e-07,,1.8030000000000001e-06,,+492.90%,,1.5629999999999988e-06,,+413.98%,

shortname: bloom_bits-BitSetExtractDeposit%2Fsize%3D64%2Ffn%3DDepositTo
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
BitSetExtractDeposit,1.5350000000000002e-08,4%,3.5930000000000005e-08,6%,+134.07%,p=0.008 n=5,1.341e-08,0%,-12.64%,p=0.008 n=5
geomean,1.5350000000000015e-08,,3.5929999999999985e-08,,+134.07%,,1.341e-08,,-12.64%,

shortname: capnproto2-Growth_MultiSegment
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
Growth_MultiSegment,0.008267279,11%,0.022750685000000003,5%,+175.19%,p=0.008 n=5,0.016988961,2%,+105.50%,p=0.008 n=5
geomean,0.008267279000000004,,0.022750685000000003,,+175.19%,,0.016988961,,+105.50%,

shortname: capnproto2-Unmarshal_Reuse
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
Unmarshal_Reuse,3.057e-07,1%,7.955e-07,1%,+160.22%,p=0.008 n=5,6.478e-07,7%,+111.91%,p=0.008 n=5
geomean,3.0570000000000004e-07,,7.954999999999997e-07,,+160.22%,,6.478e-07,,+111.91%,

shortname: commonmark_markdown-RenderSpecNoHTML
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
RenderSpecNoHTML,0.003157678,0%,0.009388766,2%,+197.33%,p=0.008 n=5,0.007430760000000001,2%,+135.32%,p=0.008 n=5
geomean,0.003157678,,0.009388765999999998,,+197.33%,,0.007430760000000003,,+135.32%,

shortname: dustin_broadcast-ParallelBrodcast
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
ParallelBrodcast,4.104e-07,10%,2.896e-05,18%,+6956.53%,p=0.008 n=5,3.3133e-05,11%,+7973.34%,p=0.008 n=5
geomean,4.103999999999999e-07,,2.8959999999999994e-05,,+6956.53%,,3.313299999999999e-05,,+7973.34%,

shortname: dustin_humanize-BigCommas
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
BigCommas,2.4850000000000003e-07,4%,1.765e-06,3%,+610.26%,p=0.008 n=5,1.449e-06,7%,+483.10%,p=0.008 n=5
geomean,2.485e-07,,1.7649999999999996e-06,,+610.26%,,1.4489999999999994e-06,,+483.10%,

shortname: dustin_humanize-Commaf
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
Commaf,1.5540000000000003e-07,7%,9.484e-07,4%,+510.30%,p=0.008 n=5,6.798e-07,2%,+337.45%,p=0.008 n=5
geomean,1.5540000000000008e-07,,9.484000000000001e-07,,+510.30%,,6.797999999999996e-07,,+337.45%,

shortname: dustin_humanize-ParseBytes
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
ParseBytes,5.226e-08,8%,2.6860000000000006e-07,7%,+413.97%,p=0.008 n=5,1.9550000000000002e-07,5%,+274.09%,p=0.008 n=5
geomean,5.225999999999999e-08,,2.6859999999999996e-07,,+413.97%,,1.9549999999999997e-07,,+274.09%,

shortname: dustin_humanize-ParseSI
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
ParseSI,2.436e-07,1%,1.2960000000000002e-06,2%,+432.02%,p=0.008 n=5,9.585e-07,2%,+293.47%,p=0.008 n=5
geomean,2.436e-07,,1.2960000000000008e-06,,+432.02%,,9.584999999999998e-07,,+293.47%,

shortname: ericlagergren_decimal-Mandelbrot_decimal_GDA_9
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
Mandelbrot_decimal_GDA_9,2.27130908,3%,3.9360154580000004,3%,+73.29%,p=0.008 n=5,3.788892697,1%,+66.82%,p=0.008 n=5
geomean,2.27130908,,3.936015458000001,,+73.29%,,3.788892697,,+66.82%,

shortname: ericlagergren_decimal-Pi%2Ffoo%3Dapmckinlay%2Fprec%3D19
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
Pi,1.061e-06,2%,9.029000000000001e-06,3%,+750.99%,p=0.008 n=5,6.471e-06,4%,+509.90%,p=0.008 n=5
geomean,1.0610000000000005e-06,,9.029000000000008e-06,,+750.99%,,6.471000000000005e-06,,+509.90%,

shortname: ericlagergren_decimal-Pi%2Ffoo%3Dcockroachdb%2Fapd%2Fprec%3D100
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
Pi,0.003087279,5%,0.028088127,2%,+809.80%,p=0.008 n=5,0.021416935,1%,+593.72%,p=0.008 n=5
geomean,0.0030872790000000014,,0.028088126999999997,,+809.80%,,0.021416935000000005,,+593.72%,

shortname: ericlagergren_decimal-Pi%2Ffoo%3Dgo-inf%2Fprec%3D100
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
Pi,6.5399e-05,2%,0.00024523300000000003,3%,+274.98%,p=0.008 n=5,0.000200062,1%,+205.91%,p=0.008 n=5
geomean,6.539899999999996e-05,,0.0002452329999999999,,+274.98%,,0.0002000620000000001,,+205.91%,

shortname: gonum_community-NewDirectedLayers%2FgraphSize%3D10%2CnumGraphs%3D1
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
NewDirectedLayers,7.596000000000001e-07,2%,1.492e-06,1%,+96.42%,p=0.008 n=5,1.303e-06,1%,+71.54%,p=0.008 n=5
geomean,7.595999999999998e-07,,1.4920000000000007e-06,,+96.42%,,1.303000000000001e-06,,+71.54%,

shortname: gonum_community-NewDirectedLayers%2FgraphSize%3D1000%2CnumGraphs%3D1
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
NewDirectedLayers,7.992000000000001e-05,1%,0.000155124,7%,+94.10%,p=0.008 n=5,0.000141225,7%,+76.71%,p=0.008 n=5
geomean,7.992e-05,,0.00015512400000000008,,+94.10%,,0.00014122499999999995,,+76.71%,

shortname: gonum_community-NewUndirectedLayers%2FgraphSize%3D1000%2CnumGraphs%3D10
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
NewUndirectedLayers,0.000979924,14%,0.00202767,1%,+106.92%,p=0.008 n=5,0.001875176,1%,+91.36%,p=0.008 n=5
geomean,0.0009799239999999999,,0.002027670000000001,,+106.92%,,0.0018751759999999999,,+91.36%,

shortname: gonum_lapack_native-Dgeev%2FCirculant5
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
Dgeev,4.880000000000001e-06,4%,4.2031000000000005e-05,2%,+761.29%,p=0.008 n=5,3.6167e-05,5%,+641.13%,p=0.008 n=5
geomean,4.879999999999998e-06,,4.2031000000000005e-05,,+761.29%,,3.616699999999998e-05,,+641.13%,

shortname: gonum_mat-AddScaledVec10Inc1
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
