benchmark	Go	LLGoNoLTO	LLGoDeadcodeDrop	LLGoFullLTONoGlobalDCE	LLGoFullLTOGlobalDCE	LLGoFullLTOGlobalDCEPlugin
Aws_restjson	14635492	13006552	10631200	12337248	10441600	10328976
Dustin_humanize	4999034	4720912	3386952	4407840	3300832	3257096
Etcdctl	25896983	21881008	20596488	21057224	20690576	20394912
Gorm_schema	9421683	7095768	6479840	6736336	6564272	5202456
K8s_workqueue	10681819	11429288	10714672	10935168	10842576	8737528
Toml	7324958	6204608	5058600	5841120	4954608	4898736
Uber_zap	10024992	11704000	9319656	11187776	9619720	9483760
XGo	18662581	17890848	15691592	17156152	16849536	16743456
