benchmark	Go	LLGoNoLTO	LLGoDeadcodeDrop	LLGoFullLTONoGlobalDCE	LLGoFullLTOGlobalDCE	LLGoFullLTOGlobalDCEPlugin
Aws_restjson	14635492	12908616	10536496	12255864	10359992	10247320
Dustin_humanize	4999034	4733752	3399752	4404096	3292776	3249056
Etcdctl	25896983	21830984	20545728	20998616	20629904	20334184
Gorm_schema	9421683	7095000	6477632	6717312	6545368	5184448
IXGo	47404136	31496400	30791280	30177304	29878888	29743488
K8s_workqueue	10681819	11410104	10694264	10896576	10803664	8699008
Toml	7324958	6196296	5056288	5811424	4928432	4872320
Uber_zap	10024992	11682072	9301592	11145504	9577824	9441856
XGo	18662581	17858296	15662496	17106336	16799384	16693272
