benchmark	Go	LLGoNoLTO	LLGoDeadcodeDrop	LLGoFullLTONoGlobalDCE	LLGoFullLTOGlobalDCE	LLGoFullLTOGlobalDCEPlugin
Aws_restjson	14635492	12904880	10532736	12252416	10356816	10244144
Dustin_humanize	4999034	4730056	3395968	4401248	3290264	3246496
Etcdctl	25896983	21827008	20541944	20993744	20625096	20329400
Gorm_schema	9421683	7091232	6473960	6714424	6542416	5181752
IXGo	47404136	31492528	30787360	30173152	29874648	29739296
K8s_workqueue	10681819	11405456	10690208	10891944	10799160	8695656
Toml	7324958	6192528	5052504	5808504	4925672	4869632
Uber_zap	10024992	11678208	9297824	11141832	9574616	9438744
XGo	18662581	17854416	15658720	17102856	16795856	16689776
