benchmark	Go	LLGoNoLTO	LLGoDeadcodeDrop	LLGoFullLTONoGlobalDCE	LLGoFullLTOGlobalDCE	LLGoFullLTOGlobalDCEPlugin
Aws_restjson	14635492	12991720	10619344	12302936	10407768	10295008
Dustin_humanize	4999034	4735432	3401392	4405552	3298760	3255040
Etcdctl	25896983	21842664	20557376	21010464	20641880	20346176
Gorm_schema	9421683	7101544	6484272	6726232	6554424	5193560
IXGo	47404136	31529840	30824696	30205232	29906904	29771552
K8s_workqueue	10681819	11441136	10725384	10928064	10835584	8727776
Toml	7324958	6198952	5059024	5813704	4935144	4879112
Uber_zap	10024992	11689160	9308136	11152736	9584976	9449072
XGo	18662581	17871712	15675400	17119968	16813168	16707072
