app	go_bytes	tinygo_bytes	llgo_bytes
base64	2275731	97341	1109656
checksum	2264417	93266	1087919
convolution	2608055	202369	2119759
fibonacci	2230980	62846	965998
grep	2848917	305182	1865888
glob	2257634	93733	1500787
json-roundtrip	3314554	496712	3005330
path-report	2381190	117553	1780991
sha256	2780938	289085	2381000
word-count	2253620	87389	1468320
