benchmark	Go	LLGoNoLTO	LLGoDeadcodeDrop	LLGoFullLTONoGlobalDCE	LLGoFullLTOGlobalDCE	LLGoFullLTOGlobalDCEPlugin
Aws_restjson	14635492	12932008	10566672	12239416	10362648	10250136
Dustin_humanize	4999034	4698192	3365688	4377472	3276944	3232952
Etcdctl	25896983	21812600	20537392	20944920	20588064	20292680
Gorm_schema	9421683	7076760	6464816	6705000	6533232	5180376
IXGo	41505755	29915152	29262040	28921464	28622808	28495464
K8s_workqueue	10681819	11351000	10641672	10837568	10742936	8662544
Toml	7324958	6184024	5034096	5812624	4924224	4868288
Uber_zap	10024992	11626784	9259936	11089584	9533400	9397648
XGo	18662581	17892520	15683544	17122592	16812728	16706352
