app	go_bytes	tinygo_bytes	llgo_bytes
base64	2275731	97341	1108781
checksum	2264417	93266	1087044
convolution	2608055	202369	2118732
fibonacci	2230980	62846	965156
grep	2848917	305182	1865008
glob	2257634	93733	1499906
json-roundtrip	3314554	496712	3004608
path-report	2381190	117553	1780110
sha256	2780938	289085	2379717
word-count	2253620	87389	1467445
