benchmark	Go	LLGoNoLTO	LLGoDeadcodeDrop	LLGoFullLTONoGlobalDCE	LLGoFullLTOGlobalDCE	LLGoFullLTOGlobalDCEPlugin
Aws_restjson	14635492	12954400	10592512	12286544	10393872	10281256
Dustin_humanize	4999034	4719144	3391568	4397968	3293712	3250008
Etcdctl	25896983	21778824	20498568	20984944	20609680	20313912
Gorm_schema	9421683	7078600	6465544	6716512	6543856	5185624
IXGo	47404136	31426760	30724496	30165488	29866360	29730960
K8s_workqueue	10681819	null	null	null	null	null
Toml	7324958	6178024	5043640	5805296	4927480	4871544
Uber_zap	10024992	11652872	9280760	11138064	9567288	9431400
XGo	18662581	17810592	15623392	17096816	16788848	16682880
